Model,Category,Subcategory,PDP URL
24U421A-B,Monitor,Standard,https://www.lg.com/sa_en/monitors/standard-monitors/24u421a-b/
27GR83Q-B,Monitor,Gaming,https://www.lg.com/sa_en/monitors/gaming-monitors/27gr83q-b/
27GS60F-B,Monitor,Gaming,https://www.lg.com/sa_en/monitors/gaming-monitors/27gs60f-b/
27U421A-B,Monitor,Standard,https://www.lg.com/sa_en/monitors/standard-monitors/27u421a-b/
27U511SA-W,Monitor,Standard,https://www.lg.com/sa_en/monitors/standard-monitors/27u511sa-w/
29U531A-W,Monitor,Ultrawide,https://www.lg.com/sa_en/monitors/ultrawide-monitors/29u531a-w/
32G600A-B,Monitor,Gaming,https://www.lg.com/sa_en/monitors/gaming-monitors/32g600a-b/
32GR93U-B,Monitor,Gaming,https://www.lg.com/sa_en/monitors/gaming-monitors/32gr93u-b/
32MR50C-B,Monitor,Standard,https://www.lg.com/sa_en/monitors/standard-monitors/32mr50c-b/
34G600A-B,Monitor,Gaming,https://www.lg.com/sa_en/monitors/gaming-monitors/34g600a-b/
34GX90SA-W,Monitor,Gaming,https://www.lg.com/sa_en/monitors/gaming-monitors/34gx90sa-w/
45GR75DC-B,Monitor,Gaming,https://www.lg.com/sa_en/monitors/gaming-monitors/45gr75dc-b/
55QNED82A6A,TV,QNED,https://www.lg.com/sa_en/tvs/qned/55qned82a6a/
65QNED82A6A,TV,QNED,https://www.lg.com/sa_en/tvs/qned/65qned82a6a/
65QNED91A6A,TV,QNED,https://www.lg.com/sa_en/tvs/qned/65qned91a6a/
65QNED9MA6A,TV,QNED,https://www.lg.com/sa_en/tvs/qned/65qned9ma6a/
75QNED82A6A,TV,QNED,https://www.lg.com/sa_en/tvs/qned/75qned82a6a/
85QNED93A6A,TV,QNED,https://www.lg.com/sa_en/tvs/qned/85qned93a6a/
GRAB,Speaker,Party Speakers,https://www.lg.com/sa_en/speakers/party-speakers/grab/
RNC5,Speaker,Soundbars,https://www.lg.com/sa_en/speakers/soundbars/rnc5/
SC9S,Speaker,Soundbars,https://www.lg.com/sa_en/speakers/soundbars/sc9s/
SH5A,Speaker,Soundbars,https://www.lg.com/sa_en/speakers/soundbars/sh5a/
XL5T,Speaker,Party Speakers,https://www.lg.com/sa_en/speakers/party-speakers/xl5t/
XL7T,Speaker,Party Speakers,https://www.lg.com/sa_en/speakers/party-speakers/xl7t/
XL9T,Speaker,Party Speakers,https://www.lg.com/sa_en/speakers/party-speakers/xl9t/
LT13CBBMIV,Appliance,Refrigerator,https://www.lg.com/sa_en/refrigerators/compact/lt13cbbmiv/
LT17CBBWIN,Appliance,Refrigerator,https://www.lg.com/sa_en/refrigerators/side-by-side/lt17cbbwin/
LREL6323S,Appliance,Refrigerator,https://www.lg.com/sa_en/refrigerators/linear-inverter/lrel6323s/
LS32NBDSLV,Appliance,Refrigerator,https://www.lg.com/sa_en/refrigerators/side-by-side/ls32nbdslv/
WF1510WHT,Appliance,Washing Machine,https://www.lg.com/sa_en/washing-machines/front-load/wf1510wht/
WF1510XMT,Appliance,Washing Machine,https://www.lg.com/sa_en/washing-machines/front-load/wf1510xmt/
WS1508XMT,Appliance,Washing Machine,https://www.lg.com/sa_en/washing-machines/semi-automatic/ws1508xmt/
WS1912XMT,Appliance,Washing Machine,https://www.lg.com/sa_en/washing-machines/top-load/ws1912xmt/
WTV15BNDA,Appliance,Dryer,https://www.lg.com/sa_en/dryers/all-dryers/wtv15bnda/
